TruckName,InhabitantName
Truck302,Inhabitant2
Truck303,Inhabitant2
Truck304,Inhabitant2
Truck305,Inhabitant2
Truck306,Inhabitant2
Truck307,Inhabitant2
Truck308,Inhabitant2
Truck309,Inhabitant2
Truck310,Inhabitant2
Truck311,Inhabitant2
Truck312,Inhabitant2
Truck313,Inhabitant2
Truck314,Inhabitant2
Truck315,Inhabitant2
Truck316,Inhabitant2
Truck317,Inhabitant2
Truck318,Inhabitant2
Truck319,Inhabitant2
Truck320,Inhabitant2
Truck321,Inhabitant2
Truck302,Inhabitant3
Truck303,Inhabitant3
Truck304,Inhabitant3
Truck305,Inhabitant3
Truck306,Inhabitant3
Truck307,Inhabitant3
Truck308,Inhabitant3
Truck309,Inhabitant3
Truck310,Inhabitant3
Truck311,Inhabitant3
Truck312,Inhabitant3
Truck313,Inhabitant3
Truck314,Inhabitant3
Truck315,Inhabitant3
Truck316,Inhabitant3
Truck317,Inhabitant3
Truck318,Inhabitant3
Truck319,Inhabitant3
Truck320,Inhabitant3
Truck321,Inhabitant3
Truck302,Inhabitant4
Truck303,Inhabitant4
Truck304,Inhabitant4
Truck305,Inhabitant4
Truck306,Inhabitant4
Truck307,Inhabitant4
Truck308,Inhabitant4
Truck309,Inhabitant4
Truck310,Inhabitant4
Truck311,Inhabitant4
Truck312,Inhabitant4
Truck313,Inhabitant4
Truck314,Inhabitant4
Truck315,Inhabitant4
Truck316,Inhabitant4
Truck317,Inhabitant4
Truck318,Inhabitant4
Truck319,Inhabitant4
Truck320,Inhabitant4
Truck321,Inhabitant4
Truck302,Inhabitant5
Truck303,Inhabitant5
Truck304,Inhabitant5
Truck305,Inhabitant5
Truck306,Inhabitant5
Truck307,Inhabitant5
Truck308,Inhabitant5
Truck309,Inhabitant5
Truck310,Inhabitant5
Truck311,Inhabitant5
Truck312,Inhabitant5
Truck313,Inhabitant5
Truck314,Inhabitant5
Truck315,Inhabitant5
Truck316,Inhabitant5
Truck317,Inhabitant5
Truck318,Inhabitant5
Truck319,Inhabitant5
Truck320,Inhabitant5
Truck321,Inhabitant5
Truck302,Inhabitant6
Truck303,Inhabitant6
Truck304,Inhabitant6
Truck305,Inhabitant6
Truck306,Inhabitant6
Truck307,Inhabitant6
Truck308,Inhabitant6
Truck309,Inhabitant6
Truck310,Inhabitant6
Truck311,Inhabitant6
Truck312,Inhabitant6
Truck313,Inhabitant6
Truck314,Inhabitant6
Truck315,Inhabitant6
Truck316,Inhabitant6
Truck317,Inhabitant6
Truck318,Inhabitant6
Truck319,Inhabitant6
Truck320,Inhabitant6
Truck321,Inhabitant6
Truck302,Inhabitant7
Truck303,Inhabitant7
Truck304,Inhabitant7
Truck305,Inhabitant7
Truck306,Inhabitant7
Truck307,Inhabitant7
Truck308,Inhabitant7
Truck309,Inhabitant7
Truck310,Inhabitant7
Truck311,Inhabitant7
Truck312,Inhabitant7
Truck313,Inhabitant7
Truck314,Inhabitant7
Truck315,Inhabitant7
Truck316,Inhabitant7
Truck317,Inhabitant7
Truck318,Inhabitant7
Truck319,Inhabitant7
Truck320,Inhabitant7
Truck321,Inhabitant7
Truck302,Inhabitant8
Truck303,Inhabitant8
Truck304,Inhabitant8
Truck305,Inhabitant8
Truck306,Inhabitant8
Truck307,Inhabitant8
Truck308,Inhabitant8
Truck309,Inhabitant8
Truck310,Inhabitant8
Truck311,Inhabitant8
Truck312,Inhabitant8
Truck313,Inhabitant8
Truck314,Inhabitant8
Truck315,Inhabitant8
Truck316,Inhabitant8
Truck317,Inhabitant8
Truck318,Inhabitant8
Truck319,Inhabitant8
Truck320,Inhabitant8
Truck321,Inhabitant8
Truck302,Inhabitant9
Truck303,Inhabitant9
Truck304,Inhabitant9
Truck305,Inhabitant9
Truck306,Inhabitant9
Truck307,Inhabitant9
Truck308,Inhabitant9
Truck309,Inhabitant9
Truck310,Inhabitant9
Truck311,Inhabitant9
Truck312,Inhabitant9
Truck313,Inhabitant9
Truck314,Inhabitant9
Truck315,Inhabitant9
